Spring 2025: Waterloo Final Examination Schedule,,,,,,
students.wlu.ca/academics/exams/assets/resources/spring-exam-schedule-waterloo.html,,,,,,
Course,Section,Date,Time,Rooms,,
CP476,B (Student last names Q - Z),"Wednesday,",Noon,LH2066
,,Aug. 06,,
EC290,E,"Friday, Aug.",Noon,LH2066
,,1,,
EC295,E,"Thursday,",8:30,SB106
,,Aug. 14,a.m.,
EC307,A,"Tuesday, Aug.",8:30,LH1009
,,12,a.m.,
EC310M,A,"Friday, Aug.",8:30,LH1010
,,1,a.m.,
EC335,C,"Thursday,",Noon,LH1010
,,Aug. 14,,
EC370,E,"Wednesday,",3:30,SB106
,,Aug. 06,p.m.,
EC390,E,"Saturday, Aug.",3:30,SB106
,,9,p.m.,
,,,,7/9
Course,Section,Date,Time,Rooms
EC395,E,"Monday, Aug.",8:30,LH2064
,,11,a.m.,
FS309Q,A,"Friday, Aug.",8:30,SB106
,,1,a.m.,
HN204,A,"Thursday,",Noon,LH1011
,,Aug. 14,,
MA101,B,"Friday, Aug.",8:30,LH1009
,,1,a.m.,
MA103,F,"Monday, Aug.",3:30,LH3094
,,11,p.m.,
MA121,C,"Tuesday, Aug.",3:30,LH2066
,,5,p.m.,
MA123,E,"Wednesday,",3:30,LH1010
,,Aug. 13,p.m.,
MA201,B,"Wednesday,",7 p.m.,LH1009
,,Aug. 13,,
MA205,B,"Wednesday,",7 p.m.,LH1011
,,Aug. 06,,
MA207,D,"Tuesday, Aug.",Noon,LH2066
,,5,,
MA222,B,"Tuesday, Aug.",8:30,LH1010
,,12,a.m.,
MA250,B,"Monday, Aug.",Noon,LH1011
,,11,,
MA306,B,"Friday, Aug.",Noon,LH2064
,,1,,
MA451,B,"Monday, Aug.",Noon,LH2064
,,11,,
PC220,D (Student last names A - O),"Tuesday, Aug.",8:30,SB106
,,5,a.m.,
PC220,D (Student last names P - Z),"Tuesday, Aug.",8:30,SB107
,,5,a.m.,
PO231,A,"Tuesday, Aug.",Noon,PET
,,5,,P110A/110B
,,,,8/9
Course,Section,Date,Time,Rooms
ST230,C (Student last names A - F),"Friday, Aug.",3:30,SB103
,,1,p.m.,
ST230,C (Student last names G - P),"Friday, Aug.",3:30,SB106
,,1,p.m.,
ST230,C (Student last names Q - Z),"Friday, Aug.",3:30,SB107
,,1,p.m.,
ST231,C,"Friday, Aug.",3:30,LH2066
,,8,p.m.,
ST259,B,"Saturday, Aug.",8:30,LH1010
,,9,a.m.,
ST359,B,"Tuesday, Aug.",3:30,LH2062
,,5,p.m.,
ST362,B,"Wednesday,",8:30,LH2066
,,Aug. 06,a.m.,
UX103,WV,"Thursday,",Noon,Remote
,,Aug. 14,,
UX230,WV,"Wednesday,",7 p.m.,Remote
,,Aug. 06,,
© 2025 Wilfrid Laurier University,,,,
,,,,9/9
